# E [eV], EF_E [erg/cm2s], sigma_EF_E [erg/cm2s]
5.275023897651945348e-02,8.131613289843120151e-14,2.870459491314621196e-14
5.276366313674690778e-02,4.773359637324117377e-14,1.684995951975413400e-14
5.277709413121637466e-02,4.169690818646201374e-14,1.471900858982108909e-14
5.279053196514816443e-02,6.847354496964295036e-14,2.417116137428395988e-14
5.280397664376788175e-02,7.856553079100460957e-14,2.773363236922462521e-14
5.281742817230647424e-02,-3.318788368696858517e-15,-1.171532294149991043e-15
5.283088655600021166e-02,-1.416586574727580844e-14,-5.000550608788360395e-15
5.284435180009071364e-02,1.309915592077090792e-13,4.624002040032130290e-14
5.285782390982494972e-02,5.549789436509033387e-14,1.959075671087688778e-14
5.287130289045518378e-02,5.850411819882447113e-14,2.065195372418503723e-14
5.288478874723912676e-02,7.066149922277878804e-14,2.494350922564091227e-14
5.289828148543980479e-02,5.211753075294293171e-14,1.839748835578885242e-14
5.291178111032562165e-02,4.701772296544933535e-14,1.659725620680361462e-14
5.292528762717034485e-02,8.868812015060752815e-14,3.130690641316445674e-14
5.293880104125315428e-02,6.996656761829888784e-14,2.469819836925950492e-14
5.295232135785862826e-02,8.311593078253890217e-14,2.933992356623622850e-14
5.296584858227674358e-02,4.933604915414297838e-14,1.741562535141247142e-14
5.297938271980283387e-02,6.263911147261284228e-14,2.211160634983233181e-14
5.299292377573770751e-02,1.899909517356518892e-13,6.706680596268511766e-14
5.300647175538755751e-02,7.628436228022868893e-14,2.692837988492072498e-14
5.302002666406404469e-02,1.013454262445593210e-13,3.577493546432943896e-14
5.303358850708420752e-02,2.270404220674798405e-14,8.014526898982037576e-15
5.304715728977058009e-02,3.043797321008413485e-14,1.074460454315969979e-14
5.306073301745110188e-02,3.014780151387187077e-14,1.064217393439676912e-14
5.307431569545919409e-02,2.260252151021833938e-14,7.978690093107074091e-15
