# E [eV], EF_E [erg/cm2s], sigma_EF_E [erg/cm2s]
5.471297376908941523e-02,3.222036030149584629e-12,1.137378718642803384e-12
5.472741562531300424e-02,3.112807318216814047e-12,1.098820983330535257e-12
5.474186510759906227e-02,3.212508111748693146e-12,1.134015363447288608e-12
5.475632222198965199e-02,3.185346021725833424e-12,1.124427145669219220e-12
5.477078697453322681e-02,3.322691086509452098e-12,1.172909953537836605e-12
5.478525937128453371e-02,3.344989059157185159e-12,1.180781137882486208e-12
5.479973941830485612e-02,3.120259649534660898e-12,1.101451656285735236e-12
5.481422712166177102e-02,3.370432942208448450e-12,1.189762828599582243e-12
5.482872248742938492e-02,3.298376003568830808e-12,1.164326729259797265e-12
5.484322552168812565e-02,3.223066137977878264e-12,1.137742346706190934e-12
5.485773623052491582e-02,3.109384903829933706e-12,1.097612871051966546e-12
5.487225462003311044e-02,3.334685577897667072e-12,1.177144008997876487e-12
5.488678069631250378e-02,3.165740474910984451e-12,1.117506387643577517e-12
5.490131446546937105e-02,3.226304051679018731e-12,1.138885330242693476e-12
5.491585593361645451e-02,3.283427292328513269e-12,1.159049834191965084e-12
5.493040510687295652e-02,3.183768618403750278e-12,1.123870322296523869e-12
5.494496199136458120e-02,3.222012112490793908e-12,1.137370275709250210e-12
5.495952659322352052e-02,3.255205746101554511e-12,1.149087628373848733e-12
5.497409891858847514e-02,3.211182958931402432e-12,1.133547584502784936e-12
5.498867897360466134e-02,3.269093028622624454e-12,1.153989839103786401e-12
5.500326676442379020e-02,3.347633503513398705e-12,1.181714626740229746e-12
5.501786229720415783e-02,3.200662867925758197e-12,1.129833992377792512e-12
5.503246557811051348e-02,3.243495030509987000e-12,1.144953745770025365e-12
5.504707661331426083e-02,3.293790610154688300e-12,1.162708085384604841e-12
5.506169540899326365e-02,3.287751500196236946e-12,1.160576279569271547e-12
5.507632197133201929e-02,3.231574254624031876e-12,1.140745711882283198e-12
5.509095630652152686e-02,3.320008413925402639e-12,1.171962970115666996e-12
5.510559842075943987e-02,3.324518776581106218e-12,1.173555128133130457e-12
5.512024832024994825e-02,3.145071627537667512e-12,1.110210284520796474e-12
5.513490601120390328e-02,3.253721533211943841e-12,1.148563701223816160e-12
5.514957149983867879e-02,3.283758990614436340e-12,1.159166923686896054e-12
5.516424479237833078e-02,3.238424908174501988e-12,1.143163992585599128e-12
5.517892589505352108e-02,3.313299993522841406e-12,1.169594897713562996e-12
5.519361481410154507e-02,3.132776447017498395e-12,1.105870085797176878e-12
5.520831155576635257e-02,3.176227895350055165e-12,1.121208447058569511e-12
